"","task","fold","min.val.loss","min.train.loss","min.test.loss","min.val.auc","min.val.step","end.auc","max.auc","max.auc.step","baseline.auc"
"162","Q14654.PF01007: (6/7)",1,0.619160771369934,0.209455609321594,0.506171882152557,0.952380952380952,15,0.857142857142857,0.952380952380952,15,0.5
"163","Q14654.PF01007: (6/7)",2,0.351720422506332,0.100046575069427,0.354970514774323,0.904761904761905,17,0.857142857142857,0.952380952380952,16,0.5
"164","Q14654.PF01007: (6/7)",3,0.826336860656738,0.719192206859589,0.616650462150574,0.738095238095238,7,0.904761904761905,0.976190476190476,18,0.5
"165","Q14654.PF01007: (6/7)",4,0.858819663524628,0.818121254444122,0.674450695514679,0.547619047619048,5,0.547619047619048,0.738095238095238,10,0.5
"166","Q99250.PF00520: (5/15)",0,0.67464554309845,0.28722882270813,0.359497010707855,0.813333333333333,14,0.813333333333333,0.893333333333333,11,0.5
"167","Q99250.PF00520: (5/15)",1,0.776704490184784,0.730678856372833,0.278630524873734,0.786666666666667,3,0.813333333333333,0.92,5,0.5
"168","Q99250.PF00520: (5/15)",2,0.80296403169632,0.588634967803955,0.477754414081573,0.84,4,0.56,0.84,4,0.5
"169","Q99250.PF00520: (5/15)",3,0.429927825927734,0.227828323841095,0.546797156333923,0.666666666666667,15,0.546666666666667,0.72,1,0.5
"170","Q99250.PF00520: (5/15)",4,0.627041041851044,0.622922837734222,0.366294741630554,0.706666666666667,4,0.706666666666667,0.733333333333333,16,0.5
"171","Q14524.PF00520: (18/16)",0,0.84747326374054,0.476368397474289,0.892114400863647,0.559027777777778,6,0.513888888888889,0.576388888888889,3,0.5
"172","Q14524.PF00520: (18/16)",1,0.781707167625427,0.306368112564087,0.781269073486328,0.614583333333333,6,0.548611111111111,0.614583333333333,5,0.5
"173","Q14524.PF00520: (18/16)",2,0.722657442092896,0.182170912623405,0.510359466075897,0.861111111111111,15,0.881944444444444,0.895833333333333,19,0.5
"174","Q14524.PF00520: (18/16)",3,0.814689457416534,0.389019191265106,0.745266556739807,0.625,8,0.590277777777778,0.71875,3,0.5
"175","Q14524.PF00520: (18/16)",4,0.792768001556396,0.57976770401001,0.853789448738098,0.638888888888889,4,0.611111111111111,0.732638888888889,5,0.5
"176","O00555.IonChannel: (10/6)",0,0.662282586097717,0.234383389353752,0.789446473121643,0.683333333333333,9,0.7,0.8,1,0.5
"177","O00555.IonChannel: (10/6)",1,0.66535085439682,0.354818642139435,0.81367963552475,0.7,6,0.833333333333333,0.833333333333333,20,0.5
"178","O00555.IonChannel: (10/6)",2,0.844866812229156,0.819371283054352,0.812113463878632,0.883333333333333,1,0.583333333333333,0.883333333333333,1,0.5
"179","O00555.IonChannel: (10/6)",3,0.569822907447815,0.297624439001083,0.770891964435577,0.85,8,0.75,0.85,8,0.5
"180","O00555.IonChannel: (10/6)",4,0.678505480289459,0.161724746227264,0.516235888004303,0.933333333333333,13,0.866666666666667,0.933333333333333,13,0.5
"181","Q99250.IonChannel: (5/15)",0,0.927761912345886,0.378540307283401,0.245946690440178,0.853333333333333,7,0.706666666666667,0.853333333333333,7,0.5
"182","Q99250.IonChannel: (5/15)",1,0.823855519294739,0.314500868320465,0.228640556335449,0.88,7,0.893333333333333,0.906666666666667,16,0.5
"183","Q99250.IonChannel: (5/15)",2,0.99828052520752,0.433395564556122,0.434576809406281,0.6,5,0.586666666666667,0.706666666666667,2,0.5
"184","Q99250.IonChannel: (5/15)",3,0.641728043556213,0.619428753852844,0.446297973394394,0.546666666666667,2,0.68,0.826666666666667,13,0.5
"185","Q99250.IonChannel: (5/15)",4,1.04564118385315,0.84279191493988,0.330489128828049,0.693333333333333,1,0.706666666666667,0.733333333333333,8,0.5
"186","Q14524.IonChannel: (18/16)",0,0.767561674118042,0.436914443969727,0.864111006259918,0.555555555555556,5,0.541666666666667,0.635416666666667,7,0.5
"187","Q14524.IonChannel: (18/16)",1,0.790495216846466,0.555864274501801,0.746356010437012,0.572916666666667,3,0.5,0.579861111111111,5,0.5
"188","Q14524.IonChannel: (18/16)",2,0.734629273414612,0.262282460927963,0.539322137832642,0.84375,9,0.840277777777778,0.847222222222222,19,0.5
"189","Q14524.IonChannel: (18/16)",3,0.81167608499527,0.285795152187347,0.815003335475922,0.618055555555556,8,0.569444444444444,0.711805555555556,3,0.5
"190","Q14524.IonChannel: (18/16)",4,0.707348942756653,0.393456727266312,0.867404460906982,0.621527777777778,6,0.638888888888889,0.711805555555556,1,0.5
